# Height 2D map of mirror JF061004
# measured on three tips placed on the two ends
# physical dimensions: 900x75x75 (l x w x t) (mmxmmxmm)
# clear aperture: 850x20 (mmxmm)
# measured using grazing incidence Fizeau interferometry
# average of 2500
# no other corrections
# 
# x position(m);y position(m);height(m)
# 
-4.24886e-01 -9.74550e-03 -1.25607e-07
-4.23861e-01 -9.74550e-03 -1.26198e-07
-4.22836e-01 -9.74550e-03 -1.24691e-07
-4.21811e-01 -9.74550e-03 -1.22378e-07
-4.20786e-01 -9.74550e-03 -1.22032e-07
-4.19761e-01 -9.74550e-03 -1.21093e-07
-4.18736e-01 -9.74550e-03 -1.20633e-07
-4.17711e-01 -9.74550e-03 -1.19439e-07
-4.16686e-01 -9.74550e-03 -1.20840e-07
-4.15661e-01 -9.74550e-03 -1.20607e-07
-4.14636e-01 -9.74550e-03 -1.18457e-07
-4.13610e-01 -9.74550e-03 -1.16726e-07
-4.12585e-01 -9.74550e-03 -1.17125e-07
-4.11560e-01 -9.74550e-03 -1.15301e-07
-4.10535e-01 -9.74550e-03 -1.17006e-07
-4.09510e-01 -9.74550e-03 -1.14996e-07
-4.08485e-01 -9.74550e-03 -1.14402e-07
-4.07460e-01 -9.74550e-03 -1.11351e-07
-4.06435e-01 -9.74550e-03 -1.11046e-07
-4.05410e-01 -9.74550e-03 -1.09188e-07
-4.04385e-01 -9.74550e-03 -1.07618e-07
-4.03360e-01 -9.74550e-03 -1.05338e-07
-4.02335e-01 -9.74550e-03 -1.06401e-07
-4.01310e-01 -9.74550e-03 -1.06550e-07
-4.00285e-01 -9.74550e-03 -1.03198e-07
-3.99260e-01 -9.74550e-03 -1.04133e-07
-3.98235e-01 -9.74550e-03 -1.01160e-07
-3.97210e-01 -9.74550e-03 -1.01180e-07
-3.96185e-01 -9.74550e-03 -1.01887e-07
-3.95159e-01 -9.74550e-03 -9.92896e-08
-3.94134e-01 -9.74550e-03 -9.80973e-08
-3.93109e-01 -9.74550e-03 -9.90665e-08
-3.92084e-01 -9.74550e-03 -9.97786e-08
-3.91059e-01 -9.74550e-03 -1.00664e-07
-3.90034e-01 -9.74550e-03 -9.92689e-08
-3.89009e-01 -9.74550e-03 -9.70133e-08
-3.87984e-01 -9.74550e-03 -9.80670e-08
-3.86959e-01 -9.74550e-03 -9.58418e-08
-3.85934e-01 -9.74550e-03 -9.47009e-08
-3.84909e-01 -9.74550e-03 -9.68183e-08
-3.83884e-01 -9.74550e-03 -9.70120e-08
-3.82859e-01 -9.74550e-03 -9.52039e-08
-3.81834e-01 -9.74550e-03 -9.35219e-08
-3.80809e-01 -9.74550e-03 -9.35794e-08
-3.79784e-01 -9.74550e-03 -9.11676e-08
-3.78759e-01 -9.74550e-03 -9.27953e-08
-3.77733e-01 -9.74550e-03 -9.01661e-08
-3.76708e-01 -9.74550e-03 -8.99186e-08
-3.75683e-01 -9.74550e-03 -8.77519e-08
-3.74658e-01 -9.74550e-03 -8.67825e-08
-3.73633e-01 -9.74550e-03 -8.54830e-08
-3.72608e-01 -9.74550e-03 -8.38447e-08
-3.71583e-01 -9.74550e-03 -8.34108e-08
-3.70558e-01 -9.74550e-03 -8.24025e-08
-3.69533e-01 -9.74550e-03 -8.05381e-08
-3.68508e-01 -9.74550e-03 -7.77853e-08
-3.67483e-01 -9.74550e-03 -8.06099e-08
-3.66458e-01 -9.74550e-03 -8.14874e-08
-3.65433e-01 -9.74550e-03 -7.95806e-08
-3.64408e-01 -9.74550e-03 -7.81083e-08
-3.63383e-01 -9.74550e-03 -7.53941e-08
-3.62358e-01 -9.74550e-03 -7.49493e-08
-3.61333e-01 -9.74550e-03 -7.42840e-08
-3.60308e-01 -9.74550e-03 -7.29547e-08
-3.59282e-01 -9.74550e-03 -7.10986e-08
-3.58257e-01 -9.74550e-03 -6.95309e-08
-3.57232e-01 -9.74550e-03 -6.97211e-08
-3.56207e-01 -9.74550e-03 -7.16398e-08
-3.55182e-01 -9.74550e-03 -7.16571e-08
-3.54157e-01 -9.74550e-03 -7.05620e-08
-3.53132e-01 -9.74550e-03 -7.05768e-08
-3.52107e-01 -9.74550e-03 -7.29826e-08
-3.51082e-01 -9.74550e-03 -7.05641e-08
-3.50057e-01 -9.74550e-03 -6.87814e-08
-3.49032e-01 -9.74550e-03 -7.01925e-08
-3.48007e-01 -9.74550e-03 -6.85748e-08
-3.46982e-01 -9.74550e-03 -6.70811e-08
-3.45957e-01 -9.74550e-03 -6.54798e-08
-3.44932e-01 -9.74550e-03 -6.40654e-08
-3.43907e-01 -9.74550e-03 -6.73343e-08
